Wall time,Step,Value
1719199718.5801303,1148000,25.76888084411621
1719199745.9731956,1152000,26.77317237854004
1719199769.4358566,1156000,25.312665939331055
1719199791.8888962,1160000,28.960676193237305
1719199818.0585406,1164000,28.082260131835938
1719199845.9413953,1168000,29.4206600189209
1719199872.9723132,1172000,24.701148986816406
1719199900.723957,1176000,27.613492965698242
1719199929.5813038,1180000,28.493757247924805
1719199958.5455484,1184000,28.18975067138672
1719199985.9799948,1188000,26.647192001342773
1719200012.5266666,1192000,31.846460342407227
1719200034.9731479,1196000,28.55698585510254
1719200058.5569098,1200000,26.495018005371094
1719200089.120383,1204000,26.522254943847656
1719200121.0923402,1208000,30.353410720825195
1719200151.1799622,1212000,26.38665008544922
1719200185.3687267,1216000,24.00481414794922
1719200215.2342227,1220000,28.853530883789062
1719200244.7822173,1224000,28.149816513061523
1719200270.3857214,1228000,27.394826889038086
1719200297.4467397,1232000,25.196176528930664
1719200330.421332,1236000,32.62245178222656
1719200361.619713,1240000,32.44268035888672
1719200391.0961654,1244000,35.16896438598633
1719200420.2598433,1248000,30.861251831054688
1719200452.056936,1252000,28.94835662841797
1719200485.1953542,1256000,29.48235511779785
1719200512.8897266,1260000,26.959110260009766
1719200535.9345782,1264000,24.359846115112305
1719200560.6124651,1268000,27.963647842407227
1719200590.5044773,1272000,29.84626007080078
1719200618.729803,1276000,26.492889404296875
1719200649.615732,1280000,30.494903564453125
1719200678.3750954,1284000,26.42014503479004
1719200705.7887123,1288000,29.185029983520508
1719200728.4595184,1292000,28.162248611450195
1719200755.719476,1296000,30.125913619995117
1719200785.2097414,1300000,26.122541427612305
1719200815.787791,1304000,27.325162887573242
1719200845.204381,1308000,28.00794792175293
1719200874.1192071,1312000,29.916244506835938
1719200898.9507096,1316000,30.683990478515625
1719200924.952195,1320000,28.752164840698242
1719200954.3192499,1324000,26.623493194580078
1719200983.4708784,1328000,25.799949645996094
1719201012.4599504,1332000,28.533641815185547
1719201041.580404,1336000,30.91876792907715
1719201070.142047,1340000,28.74306869506836
1719201094.3147562,1344000,26.334571838378906
1719201120.6389327,1348000,26.077226638793945
1719201149.1758547,1352000,23.006072998046875
1719201177.8005345,1356000,24.77053451538086
1719201205.8883936,1360000,26.056907653808594
1719201235.01445,1364000,26.164352416992188
1719201263.9496422,1368000,24.14850425720215
1719201288.0675042,1372000,29.22072982788086
1719201315.3272214,1376000,29.520811080932617
1719201345.4960384,1380000,24.284273147583008
1719201375.0863621,1384000,27.06330680847168
1719201405.8139784,1388000,29.147024154663086
1719201434.8866248,1392000,27.59646987915039
1719201463.9079418,1396000,28.09307289123535
1719201491.148025,1400000,23.819068908691406
1719201515.369845,1404000,29.65915298461914
1719201542.1983557,1408000,26.723779678344727
1719201571.276817,1412000,27.49264144897461
1719201601.2700393,1416000,30.549081802368164
1719201634.3756578,1420000,25.271034240722656
1719201667.7937238,1424000,28.247446060180664
1719201698.7205675,1428000,25.947315216064453
1719201730.4487436,1432000,26.386037826538086
1719201755.442358,1436000,27.2169189453125
1719201780.3463871,1440000,24.433547973632812
1719201808.8806944,1444000,26.733976364135742
1719201840.2748055,1448000,27.64995574951172
1719201870.3485053,1452000,25.3203182220459
1719201900.1666698,1456000,24.49152374267578
1719201931.5009403,1460000,28.920310974121094
1719201961.8105543,1464000,23.469688415527344
1719201985.7642353,1468000,26.897050857543945
1719202012.8045673,1472000,25.93914222717285
1719202044.3195035,1476000,30.26618766784668
1719202075.0528376,1480000,28.917936325073242
1719202105.2073903,1484000,26.31943130493164
1719202135.9505026,1488000,27.925966262817383
1719202166.3340113,1492000,27.419748306274414
1719202196.0876682,1496000,26.629667282104492
1719202221.0744133,1500000,24.345529556274414
1719202245.6584587,1504000,28.33243179321289
1719202275.4784262,1508000,28.846155166625977
1719202305.7434027,1512000,26.553943634033203
1719202335.874554,1516000,22.6429500579834
1719202367.418585,1520000,25.980684280395508
1719202398.2075582,1524000,22.640832901000977
1719202428.28661,1528000,27.0790958404541
1719202452.8467474,1532000,32.78807830810547
1719202478.0388978,1536000,25.5086612701416
1719202507.1505828,1540000,25.54463005065918
1719202536.46658,1544000,30.778324127197266
